"Bank & Branch Codes",,,,
"BANK CODE","BRANCH CODE","BRANCH","BANK","BANK NAME"
7010,657,"Agalawatta","BOC","Bank of Ceylon"
7010,754,"Ahungalla","BOC","Bank of Ceylon"
7010,590,"Akkaraipattu","BOC","Bank of Ceylon"
7010,613,"Akuressa","BOC","Bank of Ceylon"
7010,768,"Alawathugoda","BOC","Bank of Ceylon"
7010,498,"Alawwa","BOC","Bank of Ceylon"
7010,680,"Aluthgama","BOC","Bank of Ceylon"
7010,32,"Aluthkade","BOC","Bank of Ceylon"
7010,47,"Ambalangoda","BOC","Bank of Ceylon"
7010,537,"Ambalantota","BOC","Bank of Ceylon"
7010,21,"Ampara","BOC","Bank of Ceylon"
7010,548,"Anamaduwa","BOC","Bank of Ceylon"
7010,494,"Andiambalama","BOC","Bank of Ceylon"
7010,774,"Angunakolapelessa","BOC","Bank of Ceylon"
7010,22,"Anuradhapura","BOC","Bank of Ceylon"
7010,551,"Anuradhapura Bazzar","BOC","Bank of Ceylon"
7010,98,"Anuradhapura New Town","BOC","Bank of Ceylon"
7010,599,"Aralaganwila","BOC","Bank of Ceylon"
7010,566,"Aranayake","BOC","Bank of Ceylon"
7010,778,"Atchuvely","BOC","Bank of Ceylon"
7010,757,"Athurugiriya","BOC","Bank of Ceylon"
7010,530,"Avissawella","BOC","Bank of Ceylon"
7010,401,"Ayagama","BOC","Bank of Ceylon"
7010,540,"Badalkumbura","BOC","Bank of Ceylon"
7010,525,"Baddegama","BOC","Bank of Ceylon"
7010,11,"Badulla","BOC","Bank of Ceylon"
7010,652,"Bakamuna","BOC","Bank of Ceylon"
7010,688,"Balangoda","BOC","Bank of Ceylon"
7010,320,"Ballaketuwa","BOC","Bank of Ceylon"
7010,37,"Bambalapitiya","BOC","Bank of Ceylon"
7010,665,"Bandaragama","BOC","Bank of Ceylon"
7010,515,"Bandarawela","BOC","Bank of Ceylon"
7010,522,"Batapola","BOC","Bank of Ceylon"
7010,679,"Battaramulla","BOC","Bank of Ceylon"
7010,12,"Batticaloa","BOC","Bank of Ceylon"
7010,539,"Beliatta","BOC","Bank of Ceylon"
7010,102,"Bentota","BOC","Bank of Ceylon"
7010,58,"Beruwala","BOC","Bank of Ceylon"
7010,579,"Bibile","BOC","Bank of Ceylon"
7010,554,"Bingiriya","BOC","Bank of Ceylon"
7010,732,"Biyagama","BOC","Bank of Ceylon"
7010,668,"Borella 2nd","BOC","Bank of Ceylon"
7010,38,"Borella S/G","BOC","Bank of Ceylon"
7010,673,"Bulathsinhala","BOC","Bank of Ceylon"
7010,560,"Buttala","BOC","Bank of Ceylon"
7010,573,"Central Bus Stand","BOC","Bank of Ceylon"
7010,15,"Central Office","BOC","Bank of Ceylon"
7010,672,"Central Super Market","BOC","Bank of Ceylon"
7010,731,"CEYBANK Credit card centre","BOC","Bank of Ceylon"
7010,501,"Chavakachcheri","BOC","Bank of Ceylon"
7010,630,"Chenkalady","BOC","Bank of Ceylon"
7010,20,"Chilaw","BOC","Bank of Ceylon"
7010,53,"Chunnakam","BOC","Bank of Ceylon"
7010,1,"City Office","BOC","Bank of Ceylon"
7010,660,"Corporate","BOC","Bank of Ceylon"
7010,822,"Corporate 2nd","BOC","Bank of Ceylon"
7010,576,"Dambulla","BOC","Bank of Ceylon"
7010,497,"Dankotuwa","BOC","Bank of Ceylon"
7010,686,"Dehiattakandiya","BOC","Bank of Ceylon"
7010,634,"Dehiowita","BOC","Bank of Ceylon"
7010,51,"Dehiwala","BOC","Bank of Ceylon"
7010,784,"Deiyandara","BOC","Bank of Ceylon"
7010,561,"Dematagoda","BOC","Bank of Ceylon"
7010,528,"Deniyaya","BOC","Bank of Ceylon"
7010,642,"Deraniyagala","BOC","Bank of Ceylon"
7010,504,"Devinuwara","BOC","Bank of Ceylon"
7010,563,"Dharga Town","BOC","Bank of Ceylon"
7010,273,"Digana","BOC","Bank of Ceylon"
7010,592,"Dikwella","BOC","Bank of Ceylon"
7010,433,"Divulapitiya","BOC","Bank of Ceylon"
7010,260,"Diyatalawa","BOC","Bank of Ceylon"
7010,293,"Dodangoda","BOC","Bank of Ceylon"
7010,580,"Dummalasuriya","BOC","Bank of Ceylon"
